id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
265721,58.0,Female,38580.0,Married,2.0,Master's,,46.88292217314209,Suburban,Comprehensive,,9.0,657.0,6.0,2023-08-02 15:21:39.099739,Average,Yes,Rarely,Condo,1330.0
1026441,58.0,Male,85389.0,Single,,High School,,21.95830889061797,Rural,Basic,0.0,11.0,514.0,8.0,2019-11-02 15:21:39.278402,Poor,No,Rarely,Condo,307.0
412906,45.0,Male,2514.0,Divorced,2.0,High School,Employed,45.8483153228177,Rural,Basic,1.0,11.0,468.0,5.0,2024-01-18 15:21:39.090124,Average,Yes,Rarely,Condo,43.0
219675,56.0,Female,,Divorced,1.0,Master's,Unemployed,15.283254425882069,Rural,Basic,0.0,15.0,434.0,9.0,2019-12-21 15:21:39.223901,Good,Yes,Rarely,House,461.0
127684,25.0,Male,20962.0,Married,0.0,PhD,,31.78985440352267,Rural,Comprehensive,,0.0,685.0,5.0,2020-10-31 15:21:39.155231,Average,Yes,Monthly,Apartment,1584.0
1067471,46.0,Female,48722.0,Divorced,,High School,Self-Employed,11.586842911211011,Suburban,Comprehensive,2.0,15.0,592.0,4.0,2021-04-02 15:21:39.223901,Average,Yes,Daily,Condo,2142.0
1110396,64.0,Female,38963.0,Single,3.0,Bachelor's,Self-Employed,22.59608257091284,Urban,Comprehensive,,17.0,665.0,9.0,2022-06-16 15:21:39.087123,Good,Yes,Rarely,Condo,476.0
863367,18.0,Female,28409.0,Married,4.0,PhD,Self-Employed,48.95905768335677,Suburban,Comprehensive,0.0,7.0,625.0,8.0,2022-05-29 15:21:39.134960,Good,Yes,Monthly,Condo,3188.0
960753,31.0,Female,7981.0,Single,1.0,Bachelor's,,17.92223036310063,Urban,Premium,1.0,12.0,767.0,9.0,2022-06-11 15:21:39.204790,Average,No,Weekly,House,115.0
1126982,22.0,Female,5964.0,Single,1.0,PhD,Unemployed,13.819148159372675,Suburban,Premium,,3.0,759.0,5.0,2021-01-26 15:21:39.155231,Average,Yes,Monthly,Condo,1499.0
378080,32.0,Male,28004.0,Single,0.0,Master's,,31.03896313058513,Rural,Comprehensive,1.0,9.0,833.0,4.0,2019-11-11 15:21:39.147735,Good,No,Daily,House,2237.0
175922,35.0,Male,1447.0,Divorced,0.0,Master's,,12.813545091069898,Rural,Basic,2.0,12.0,300.0,7.0,2021-06-13 15:21:39.249100,Good,No,Daily,Apartment,1687.0
384136,43.0,Female,11445.0,Married,2.0,PhD,Employed,22.331181324699465,Rural,Comprehensive,,0.0,761.0,1.0,2022-05-14 15:21:39.134960,Good,No,Monthly,Apartment,240.0
463831,38.0,Male,62414.0,Married,2.0,PhD,Employed,37.154046767641134,Suburban,Premium,2.0,13.0,805.0,2.0,2023-07-07 15:21:39.080440,Average,Yes,Weekly,Condo,40.0
276951,56.0,Male,14085.0,Single,2.0,PhD,Employed,44.53983388564669,Urban,Basic,1.0,6.0,654.0,2.0,2020-12-26 15:21:39.155231,Poor,No,Monthly,Apartment,658.0
724331,53.0,Male,26603.0,Divorced,3.0,Bachelor's,,20.81101475815715,Suburban,Premium,,11.0,726.0,5.0,2024-08-09 15:21:39.121169,Poor,No,Weekly,Apartment,1047.0
189281,61.0,Male,31503.0,Single,4.0,High School,Self-Employed,20.12505811087495,Urban,Premium,0.0,18.0,462.0,6.0,2019-10-10 15:21:39.200452,Poor,Yes,Weekly,Apartment,621.0
793283,33.0,Male,16339.0,Married,2.0,Master's,,46.96636166355448,Rural,Premium,1.0,11.0,568.0,7.0,2020-12-19 15:21:39.187211,Poor,Yes,Weekly,Apartment,1245.0
869536,52.0,Female,16259.0,Married,4.0,High School,,,Urban,Basic,,17.0,,5.0,2023-08-24 15:21:39.259788,Good,Yes,Daily,House,564.0
40241,26.0,Male,98863.0,Single,1.0,PhD,,47.9581624457099,Suburban,Basic,0.0,18.0,359.0,3.0,2019-11-21 15:21:39.270454,Average,Yes,Weekly,Apartment,456.0
244233,52.0,Male,,Divorced,,PhD,,50.98344545544613,Urban,Comprehensive,0.0,2.0,,8.0,2020-05-05 15:21:39.134960,Good,No,Daily,Condo,258.0
568252,62.0,Male,26292.0,Divorced,3.0,Master's,Employed,15.937266480177,Suburban,Comprehensive,0.0,18.0,,2.0,2019-08-21 15:21:39.256696,Good,No,Rarely,House,638.0
765593,38.0,Female,848.0,Married,4.0,Bachelor's,Employed,8.934406242260193,Suburban,Comprehensive,,17.0,567.0,4.0,2021-11-10 15:21:39.237118,Poor,No,Daily,Apartment,20.0
777651,36.0,Female,1209.0,Divorced,,High School,Self-Employed,32.55795726841543,Rural,Comprehensive,1.0,9.0,506.0,8.0,2020-11-04 15:21:39.155231,Average,Yes,Daily,Apartment,605.0
1156755,23.0,Female,2979.0,Married,2.0,Bachelor's,,49.81659285864376,Suburban,Basic,1.0,11.0,506.0,6.0,2019-11-27 15:21:39.283783,Good,No,Rarely,Apartment,563.0
767316,49.0,Male,9984.0,Divorced,4.0,PhD,Employed,25.91267977272905,Rural,Basic,,11.0,686.0,7.0,2023-04-27 15:21:39.124659,Poor,Yes,Daily,Condo,914.0
817856,32.0,Female,3532.0,Divorced,,Master's,Employed,9.65012438986078,Suburban,Comprehensive,0.0,14.0,381.0,4.0,2024-01-13 15:21:39.265513,Poor,Yes,Weekly,Apartment,1876.0
951122,62.0,Male,14073.0,Single,2.0,PhD,Self-Employed,20.917903878018564,Rural,Premium,,18.0,434.0,7.0,2024-06-25 15:21:39.219432,Good,Yes,Rarely,Condo,1133.0
184655,43.0,Male,21124.0,Divorced,4.0,Master's,,47.7039952120718,Suburban,Premium,,5.0,663.0,4.0,2024-04-03 15:21:39.226954,Poor,No,Daily,House,1421.0
705565,40.0,Female,34686.0,Married,2.0,High School,Employed,34.24888902111388,Suburban,Comprehensive,0.0,12.0,636.0,6.0,2022-11-10 15:21:39.237118,,Yes,Weekly,Apartment,1290.0
585971,32.0,Female,866.0,Single,,Master's,Self-Employed,19.14992094732668,Rural,Basic,1.0,14.0,560.0,1.0,2019-09-06 15:21:39.092127,Poor,No,Rarely,Apartment,1463.0
892135,63.0,Male,18072.0,Married,2.0,Master's,,,Urban,Basic,,6.0,,3.0,2022-05-23 15:21:39.182597,Poor,No,Rarely,Apartment,815.0
966114,58.0,Female,85871.0,Divorced,,Bachelor's,Employed,7.551172345885907,Urban,Comprehensive,1.0,15.0,793.0,1.0,2021-01-17 15:21:39.126661,,No,Daily,House,239.0
601464,27.0,Male,20372.0,Single,2.0,Master's,Self-Employed,8.955757530874237,Urban,Premium,2.0,4.0,752.0,1.0,2020-05-23 15:21:39.253660,,No,Daily,Apartment,144.0
481705,32.0,Male,28450.0,Married,,High School,Unemployed,50.13631788401421,Suburban,Premium,0.0,4.0,,3.0,2021-06-07 15:21:39.273973,Poor,No,Weekly,Condo,1556.0
1073123,59.0,Female,16601.0,Married,2.0,High School,Employed,14.44137960686825,Rural,Basic,1.0,15.0,646.0,4.0,2023-05-21 15:21:39.276901,Poor,Yes,Monthly,House,733.0
672786,22.0,Male,3391.0,Married,4.0,High School,,20.36130141915413,Suburban,Premium,,18.0,307.0,5.0,2023-03-20 15:21:39.197445,Poor,Yes,Weekly,Apartment,3162.0
1095016,50.0,Male,77304.0,Divorced,3.0,Master's,,24.09125742004,Suburban,Premium,,2.0,505.0,2.0,2022-10-27 15:21:39.167099,Poor,Yes,Monthly,Condo,2008.0
1013982,20.0,Male,547.0,Single,2.0,High School,,18.96464719150029,Suburban,Basic,1.0,13.0,768.0,9.0,2023-01-16 15:21:39.204790,Poor,No,Daily,House,3381.0
283025,37.0,Male,25551.0,Married,3.0,PhD,,22.89864509945069,Urban,Comprehensive,1.0,15.0,310.0,3.0,2023-08-24 15:21:39.219432,Good,No,Rarely,Condo,506.0
508340,37.0,Female,114782.0,Single,3.0,Master's,Employed,25.06421966187009,Urban,Premium,,12.0,502.0,8.0,2023-01-14 15:21:39.218388,Average,Yes,Daily,House,1946.0
223017,61.0,Female,17001.0,Married,1.0,PhD,Employed,9.54874067199168,Rural,Comprehensive,0.0,17.0,559.0,7.0,2020-11-26 15:21:39.272456,Average,Yes,Weekly,House,718.0
277820,23.0,Female,104154.0,Married,2.0,Bachelor's,Unemployed,26.135828944676263,Suburban,Premium,,3.0,,3.0,2021-01-24 15:21:39.272456,Average,No,Monthly,Apartment,302.0
298164,26.0,Male,30779.0,Divorced,0.0,Master's,Employed,7.859229561405167,Urban,Premium,2.0,2.0,,4.0,2020-07-12 15:21:39.131192,Average,No,Weekly,Apartment,1614.0
365202,54.0,Male,39718.0,Divorced,4.0,High School,Self-Employed,16.569721574130007,Urban,Premium,0.0,11.0,314.0,6.0,2023-11-12 15:21:39.237118,Average,No,Daily,Apartment,1165.0
1114553,42.0,Female,24236.0,Married,2.0,Bachelor's,Self-Employed,8.602872860252777,Rural,Basic,1.0,13.0,337.0,2.0,2019-11-27 15:21:39.288099,Average,Yes,Daily,Condo,1947.0
270322,26.0,Female,8153.0,Married,3.0,Master's,Employed,35.97136783777817,Urban,Premium,2.0,12.0,319.0,2.0,2020-09-29 15:21:39.221386,Average,No,Daily,Apartment,536.0
248665,51.0,Female,41087.0,Divorced,2.0,PhD,Unemployed,13.822212705644796,Urban,Premium,2.0,12.0,518.0,9.0,2023-09-19 15:21:39.111551,Average,Yes,Daily,Condo,886.0
37449,59.0,Female,37714.0,Divorced,1.0,Bachelor's,Employed,23.581445732764188,Urban,Basic,2.0,17.0,634.0,9.0,2021-07-04 15:21:39.124659,Poor,Yes,Daily,Condo,1012.0
545789,18.0,Male,17272.0,Single,1.0,PhD,Employed,39.13017565681044,Rural,Comprehensive,0.0,12.0,,9.0,2020-11-27 15:21:39.132191,Good,Yes,Weekly,Apartment,657.0
37322,47.0,Female,84761.0,Married,1.0,PhD,Self-Employed,20.104314460842,Urban,Comprehensive,,12.0,373.0,9.0,2023-12-02 15:21:39.212862,Average,Yes,Monthly,Condo,846.0
806653,56.0,Male,32417.0,Married,4.0,Master's,,26.967306314248667,Urban,Basic,1.0,18.0,512.0,1.0,2020-02-29 15:21:39.259788,,Yes,Weekly,House,1824.0
128770,48.0,Female,4975.0,Single,0.0,Bachelor's,Self-Employed,28.008848493902693,Suburban,Basic,,9.0,,1.0,2023-06-13 15:21:39.134960,Average,Yes,Rarely,Condo,101.0
674322,59.0,Male,130524.0,Divorced,,Bachelor's,Self-Employed,15.771575836626278,Rural,Basic,2.0,19.0,390.0,6.0,2019-08-20 15:21:39.286113,Poor,No,Rarely,Condo,1714.0
829388,34.0,Female,44354.0,Divorced,1.0,Bachelor's,Employed,17.01368655936134,Urban,Premium,1.0,8.0,,4.0,2023-08-01 15:21:39.192212,,Yes,Daily,House,583.0
348386,30.0,Female,45672.0,Single,0.0,PhD,,37.71083651715662,Rural,Comprehensive,0.0,15.0,713.0,4.0,2020-04-18 15:21:39.145732,Poor,Yes,Weekly,House,3693.0
