model,train_r2,test_r2,train_test_gap,cv_mean_rmse,cv_std_rmse,test_rmse,test_mae,test_mape,test_rmsle
RandomForest,0.0465,0.0265,0.0201,858.7592,4.4586,852.982,654.0478,304.6282,1.1586
CatBoost,0.046,0.0248,0.0212,859.271,4.6967,853.7007,656.0134,303.9201,1.1595
LightGBM,0.0386,0.0245,0.0141,859.2164,4.432,853.8684,656.8825,303.8166,1.1608
XGBoost,0.0494,0.0243,0.0252,858.7837,4.5507,853.9518,656.872,304.1613,1.161
GradientBoosting,0.0521,0.0234,0.0286,859.6238,4.5862,854.3122,657.3663,304.4929,1.1617
ExtraTrees,0.1245,0.0202,0.1043,860.6168,3.6453,855.7159,657.232,305.5815,1.1618
AdaBoost,0.0154,0.013,0.0024,861.93,5.1481,858.8698,668.4564,315.1571,1.1781
DecisionTree,0.0149,0.0123,0.0026,862.5117,4.7474,859.1617,663.2023,307.5562,1.17
NeuralNet,0.0095,0.0046,0.005,,,862.5247,666.2499,302.5205,1.1675
Ridge,0.005,0.0042,0.0008,865.4911,3.88,862.6836,667.0757,302.7357,1.1684
Lasso,0.0049,0.0039,0.0009,865.3699,3.896,862.7988,667.1999,302.5825,1.1685
ElasticNet,0.0048,0.0038,0.0009,865.4039,3.9203,862.85,667.2762,302.6629,1.1686
SGD,-0.0165,-0.0161,0.0004,868.0256,4.7928,871.4336,648.4892,270.0137,1.135
KNN,0.0843,-0.0471,0.1315,885.0876,1.0829,884.641,679.8226,305.6372,1.1746
