predicted_premium,actual_premium,decision,premium_tier
1149.6173580286597,1290.0,STANDARD,STANDARD
1030.9317986191425,1208.0,STANDARD,STANDARD
1192.8688925051576,2196.0,STANDARD,STANDARD
1180.0559011380637,855.0,STANDARD,STANDARD
1268.6032442805447,115.0,ELEVATED,ELEVATED
735.6636814484679,2047.0,STANDARD,STANDARD
725.9392643338687,123.0,STANDARD,STANDARD
1043.4692858729277,2592.0,STANDARD,STANDARD
1052.0251576549392,434.0,STANDARD,STANDARD
1325.7165448013495,891.0,REVIEW_SENIOR_SMOKER,REVIEW
1123.6347944117074,1641.0,STANDARD,STANDARD
1196.4711691693128,1164.0,STANDARD,STANDARD
1099.396950420862,966.0,STANDARD,STANDARD
1095.0797854037187,567.0,STANDARD,STANDARD
777.4622436041718,141.0,STANDARD,STANDARD
1143.1244799953938,593.0,REVIEW_CREDIT_VEHICLE,REVIEW
1062.9378148771784,645.0,STANDARD,STANDARD
1167.3472899634837,173.0,STANDARD,STANDARD
1238.8221871677588,1874.0,ELEVATED,ELEVATED
1032.700046996933,1047.0,STANDARD,STANDARD
1007.763114699455,757.0,STANDARD,STANDARD
1135.6806012546854,2109.0,STANDARD,STANDARD
727.5504219810209,2221.0,STANDARD,STANDARD
1134.1453369259564,1602.0,REVIEW_CREDIT_VEHICLE,REVIEW
1034.1351038105431,1131.0,STANDARD,STANDARD
1134.4793421382626,573.0,STANDARD,STANDARD
1140.274938082876,1708.0,REVIEW_CREDIT_VEHICLE,REVIEW
1180.6710031929747,355.0,REVIEW_SENIOR_SMOKER,REVIEW
1050.8849901802967,104.0,STANDARD,STANDARD
1044.9834138629592,827.0,STANDARD,STANDARD
1162.6212029998524,761.0,STANDARD,STANDARD
1014.0877531103926,111.0,STANDARD,STANDARD
1139.6095102632803,26.0,REVIEW_CREDIT_VEHICLE,REVIEW
1038.2677919389969,605.0,STANDARD,STANDARD
1146.6069366949266,1476.0,STANDARD,STANDARD
1070.4992873785368,77.0,STANDARD,STANDARD
1103.5613967086124,829.0,STANDARD,STANDARD
1057.6268380722458,1679.0,STANDARD,STANDARD
945.1317095967834,1205.0,STANDARD,STANDARD
1332.518821965964,2033.0,ELEVATED,ELEVATED
1222.4438891052764,112.0,ELEVATED,ELEVATED
